artist,song,week_number,chart_rank,date
Metallica,I Disappear,17,98.0,2000-09-02
Madison Avenue,Don't Call Me Baby,17,93.0,2000-10-28
Limp Bizkit,Re-Arranged,17,93.0,2000-03-25
Destiny's Child,Independent Women Part I,18,1.0,2001-01-20
Santana,"Maria, Maria",18,1.0,2000-06-10
Savage Garden,I Knew I Loved You,18,2.0,2000-02-19
Madonna,Music,18,16.0,2000-12-09
"Aguilera, Christina",Come On Over Baby (All I Want Is You),18,22.0,2000-12-02
Janet,Doesn't Really Matter,18,7.0,2000-10-14
Destiny's Child,Say My Name,18,3.0,2000-04-22
"Iglesias, Enrique",Be With You,18,14.0,2000-07-29
Sisqo,Incomplete,18,10.0,2000-10-21
Lonestar,Amazed,18,40.0,1999-10-02
N'Sync,It's Gonna Be Me,18,10.0,2000-09-02
"Aguilera, Christina",What A Girl Wants,18,15.0,2000-03-25
Vertical Horizon,Everything You Want,18,6.0,2000-05-20
Creed,With Arms Wide Open,18,29.0,2000-09-09
Aaliyah,Try Again,18,2.0,2000-07-15
matchbox twenty,Bent,18,3.0,2000-08-26
"Carey, Mariah",Thank God I Found You,18,57.0,2000-04-08
"Hill, Faith",Breathe,18,3.0,2000-03-04
Mya,Case Of The Ex (Whatcha Gonna Do),18,2.0,2000-12-16
Dream,He Loves U Not,18,3.0,2001-01-27
"Braxton, Toni",He Wasn't Man Enough,18,14.0,2000-07-15
"Anthony, Marc",You Sang To Me,18,7.0,2000-06-24
98¡,Give Me Just One Night (Una Noche),18,84.0,2000-12-16
Destiny's Child,Jumpin' Jumpin',18,3.0,2000-09-09
3 Doors Down,Kryptonite,18,18.0,2000-08-05
Sisqo,Thong Song,18,3.0,2000-05-27
"Aguilera, Christina",I Turn To You,18,29.0,2000-08-12
"Houston, Whitney",My Love Is Your Love,18,5.0,2000-01-01
Joe,I Wanna Know,18,11.0,2000-04-29
"Jordan, Montell",Get It On.. Tonite,18,4.0,2000-02-19
N'Sync,Bye Bye Bye,18,12.0,2000-05-27
Eminem,The Real Slim Shady,18,88.0,2000-09-02
Pink,Most Girls,18,8.0,2000-12-09
"Mumba, Samantha",Gotta Tell You,18,17.0,2001-01-06
Blaque,Bring It All To Me,18,9.0,2000-02-19
"Elliott, Missy ""Misdemeanor""",Hot Boyz,18,17.0,2000-03-25
"Gray, Macy",I Try,18,11.0,2000-06-17
N'Sync,This I Promise You,18,12.0,2001-01-27
Ruff Endz,No More,18,23.0,2000-10-28
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,18,19.0,2000-04-29
Nine Days,Absolutely (Story Of A Girl),18,9.0,2000-09-02
"Dion, Celine",That's The Way It Is,18,8.0,2000-03-11
Blink-182,All The Small Things,18,16.0,2000-04-01
Eiffel 65,Blue (Da Ba Dee),18,60.0,2000-04-08
"Badu, Erkyah",Bag Lady,18,38.0,2000-12-16
Pink,There U Go,18,10.0,2000-07-01
Creed,Higher,18,57.0,2000-01-08
Nelly,(Hot S**t) Country Grammar,18,11.0,2000-08-26
Next,Wifey,18,12.0,2000-09-23
Sonique,It Feels So Good,18,14.0,2000-05-20
"Spears, Britney",Oops!.. I Did It Again,18,85.0,2000-08-19
"Backstreet Boys, The",Shape Of My Heart,18,63.0,2001-02-10
Everclear,Wonderful,18,28.0,2000-11-04
Ja Rule,Between Me And You,18,30.0,2001-01-13
"Rimes, LeAnn",I Need You,18,16.0,2000-09-23
Smash Mouth,Then The Morning Comes,18,23.0,2000-02-26
Jay-Z,I Just Wanna Love U (Give It 2 Me),18,28.0,2001-02-24
Jagged Edge,Let's Get Married,18,20.0,2000-09-02
Filter,Take A Picture,18,24.0,2000-03-25
"Martin, Ricky",She Bangs,18,100.0,2001-02-03
Mystikal,Shake Ya Ass,18,30.0,2000-12-09
BBMak,Back Here,18,16.0,2000-08-26
"Spears, Britney",From The Bottom Of My Broken Heart,18,92.0,2000-05-27
Third Eye Blind,Never Let You Go,18,25.0,2000-05-20
Red Hot Chili Peppers,Otherside,18,16.0,2000-06-10
Profyle,Liar,18,81.0,2001-01-13
Barenaked Ladies,Pinch Me,18,20.0,2001-01-06
Jagged Edge,He Can't Love U,18,65.0,2000-04-08
504 Boyz,Wobble Wobble,18,96.0,2000-08-12
Sting,Desert Rose,18,19.0,2000-09-09
Jay-Z,Big Pimpin',18,33.0,2000-08-19
Kid Rock,Only God Knows Why,18,62.0,2000-06-17
Foo Fighters,Learn To Fly,18,30.0,2000-02-12
Lil Bow Wow,Bounce With Me,18,90.0,2000-12-16
Westlife,Swear It Again,18,33.0,2000-07-29
Train,Meet Virginia,18,24.0,2000-02-05
"Thomas, Carl",I Wish,18,44.0,2000-07-22
Ludacris,What's Your Fantasy,18,34.0,2001-01-27
SoulDecision,Faded,18,34.0,2000-11-04
"Brock, Chad",Yes!,18,50.0,2000-08-05
"Martin, Ricky",Shake Your Bon-Bon,18,93.0,2000-03-18
Vertical Horizon,You're A God,18,41.0,2000-12-23
Avant,Separated,18,33.0,2000-08-26
"Rimes, LeAnn",Big Deal,18,43.0,2000-02-12
IMx,Stay The Night,18,71.0,2000-02-05
Dr. Dre,The Next Episode,18,50.0,2000-09-23
Savage Garden,Crash And Burn,18,63.0,2000-08-05
Kandi,Don't Think I'm Not,18,26.0,2000-12-02
Sammie,I Like It,18,93.0,2000-05-27
Goo Goo Dolls,Broadway,18,82.0,2000-08-19
Dr. Dre,Forgot About Dre,18,68.0,2000-05-20
"Messina, Jo Dee",That's The Way,18,46.0,2000-10-21
Avant,My First Love,18,73.0,2001-03-03
Son By Four,A Puro Dolor (Purest Of Pain),18,32.0,2000-08-05
Da Brat,What'Chu Like,18,65.0,2000-09-30
DMX,Party Up (Up In Here),18,42.0,2000-06-24
"Dixie Chicks, The",Cowboy Take Me Away,18,56.0,2000-03-25
"McGraw, Tim",My Next Thirty Years,18,53.0,2001-02-17
"Tritt, Travis",Best Of Intentions,18,31.0,2000-12-16
Alice Deejay,Better Off Alone,18,68.0,2000-08-05
Counting Crows,Hanginaround,18,59.0,2000-03-04
Mary Mary,Shackles (Praise You),18,76.0,2000-07-22
"McGraw, Tim",My Best Friend,18,41.0,2000-03-25
Sugar Ray,Falls Apart,18,97.0,2000-05-13
"Jones, Donell",Where I Wanna Be,18,49.0,2000-08-19
"Paisley, Brad",We Danced,18,84.0,2001-02-10
Lonestar,What About Now,18,60.0,2000-10-07
"Keith, Toby",How Do You Like Me Now?!,18,51.0,2000-05-27
"Strait, George",The Best Day,18,49.0,2000-05-27
"Dixie Chicks, The",Without You,18,43.0,2001-02-03
Musiq,Just Friends (Sunny),18,54.0,2001-02-10
"McEntire, Reba",What Do You Say,18,60.0,2000-02-26
"Braxton, Toni",Just Be A Man About It,18,84.0,2000-11-25
Bon Jovi,It's My Life,18,84.0,2000-12-09
"Evans, Sara",Born To Fly,18,74.0,2001-02-17
"Chesney, Kenny",I Lost It,18,88.0,2001-02-17
Aaliyah,I Don't Wanna,18,67.0,2000-05-27
"Montgomery, John Michael",The Little Girl,18,83.0,2001-01-06
"Vassar, Phil",Just Another Day In Paradise,18,70.0,2001-01-27
"Wills, Mark",Back At One,18,99.0,2000-05-13
Lucy Pearl,Dance Tonight,18,86.0,2000-09-16
"Jackson, Alan",It Must Be Love,18,80.0,2000-10-21
"Griggs, Andy",She's More,18,73.0,2000-07-08
"Jean, Wyclef",911,18,85.0,2001-02-03
Rascal Flatts,Prayin' For Daylight,18,65.0,2000-09-02
"Gilman, Billy",One Voice,18,95.0,2000-10-14
Lonestar,Smile,18,78.0,2000-04-15
"Rogers, Kenny",Buy Me A Rose,18,84.0,2000-07-08
"Lawrence, Tracy",Lessons Learned,18,99.0,2000-05-27
"Strait, George",Go On,18,88.0,2000-12-23
Sisqo,Got To Get It,18,82.0,2000-03-18
Baha Men,Who Let The Dogs Out,18,65.0,2000-11-18
"Walker, Clay",The Chain Of Love,18,94.0,2000-08-12
"McBride, Martina",Love's The Only House,18,93.0,2000-06-03
"Tippin, Aaron",Kiss This,18,92.0,2000-12-23
SheDaisy,I Will.. But,18,81.0,2000-11-11
"Raye, Collin",Couldn't Last A Moment,18,66.0,2000-07-15
"Jackson, Alan",Pop A Top,18,100.0,2000-03-11
"Black, Clint",Been There,18,87.0,2000-06-17
Common,The Light,18,93.0,2000-12-02
"Vassar, Phil",Carlene,18,96.0,2000-07-01
Ideal,Whatever,18,90.0,2000-10-07
"Thomas, Carl",Emotional,18,82.0,2001-03-24
"Davidson, Clay",Unconditional,18,62.0,2000-07-22
DMX,What You Want,18,89.0,2000-10-28
"Heatherly, Eric",Flowers On The Wall,18,77.0,2000-08-26
"McEntire, Reba",I'll Be,18,91.0,2000-09-09
"Lopez, Jennifer",Feelin' Good,18,82.0,2000-06-17
"Gill, Vince",Feels Like Love,18,99.0,2000-12-30
"Houston, Whitney",Could I Have This Kiss Forever,18,100.0,2000-10-14
"Williams, Robbie",Angels,18,89.0,2000-03-18
3 Doors Down,Loser,18,67.0,2001-02-17
Brooks & Dunn,You'll Always Be Loved By Me,18,100.0,2000-10-07
Da Brat,That's What I'm Looking For,18,100.0,2000-06-24
Papa Roach,Last Resort,18,64.0,2000-11-25
"Adams, Yolanda",Open My Heart,18,71.0,2000-12-23
"Henley, Don",Taking You Home,18,90.0,2000-10-21
Sister Hazel,Change Your Mind,18,98.0,2000-11-11
M2M,Mirror Mirror,18,96.0,2000-07-29
"Price, Kelly",You Should've Told Me,18,85.0,2001-01-20
Red Hot Chili Peppers,Californication,18,89.0,2000-11-25
"Anthony, Marc",My Baby You,18,94.0,2001-01-13
"Rimes, LeAnn",Can't Fight The Moonlight,18,79.0,2001-01-06
Metallica,I Disappear,18,95.0,2000-09-09
Madison Avenue,Don't Call Me Baby,18,92.0,2000-11-04
Limp Bizkit,Re-Arranged,18,100.0,2000-04-01
Destiny's Child,Independent Women Part I,19,1.0,2001-01-27
Santana,"Maria, Maria",19,8.0,2000-06-17
Savage Garden,I Knew I Loved You,19,1.0,2000-02-26
Madonna,Music,19,20.0,2000-12-16
"Aguilera, Christina",Come On Over Baby (All I Want Is You),19,23.0,2000-12-09
Janet,Doesn't Really Matter,19,8.0,2000-10-21
Destiny's Child,Say My Name,19,5.0,2000-04-29
"Iglesias, Enrique",Be With You,19,24.0,2000-08-05
Sisqo,Incomplete,19,9.0,2000-10-28
Lonestar,Amazed,19,43.0,1999-10-09
N'Sync,It's Gonna Be Me,19,13.0,2000-09-09
"Aguilera, Christina",What A Girl Wants,19,18.0,2000-04-01
Vertical Horizon,Everything You Want,19,7.0,2000-05-27
Creed,With Arms Wide Open,19,19.0,2000-09-16
Aaliyah,Try Again,19,3.0,2000-07-22
matchbox twenty,Bent,19,4.0,2000-09-02
"Carey, Mariah",Thank God I Found You,19,82.0,2000-04-15
"Hill, Faith",Breathe,19,3.0,2000-03-11
Mya,Case Of The Ex (Whatcha Gonna Do),19,3.0,2000-12-23
Dream,He Loves U Not,19,7.0,2001-02-03
"Braxton, Toni",He Wasn't Man Enough,19,12.0,2000-07-22
"Anthony, Marc",You Sang To Me,19,9.0,2000-07-01
98¡,Give Me Just One Night (Una Noche),19,93.0,2000-12-23
Destiny's Child,Jumpin' Jumpin',19,3.0,2000-09-16
3 Doors Down,Kryptonite,19,18.0,2000-08-12
Sisqo,Thong Song,19,4.0,2000-06-03
"Aguilera, Christina",I Turn To You,19,29.0,2000-08-19
"Houston, Whitney",My Love Is Your Love,19,4.0,2000-01-08
Joe,I Wanna Know,19,11.0,2000-05-06
"Jordan, Montell",Get It On.. Tonite,19,7.0,2000-02-26
N'Sync,Bye Bye Bye,19,18.0,2000-06-03
Eminem,The Real Slim Shady,19,98.0,2000-09-09
Pink,Most Girls,19,11.0,2000-12-16
"Mumba, Samantha",Gotta Tell You,19,17.0,2001-01-13
Blaque,Bring It All To Me,19,15.0,2000-02-26
"Elliott, Missy ""Misdemeanor""",Hot Boyz,19,23.0,2000-04-01
"Gray, Macy",I Try,19,14.0,2000-06-24
N'Sync,This I Promise You,19,20.0,2001-02-03
Ruff Endz,No More,19,21.0,2000-11-04
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,19,23.0,2000-05-06
Nine Days,Absolutely (Story Of A Girl),19,11.0,2000-09-09
"Dion, Celine",That's The Way It Is,19,7.0,2000-03-18
Blink-182,All The Small Things,19,18.0,2000-04-08
Eiffel 65,Blue (Da Ba Dee),19,76.0,2000-04-15
"Badu, Erkyah",Bag Lady,19,56.0,2000-12-23
Pink,There U Go,19,10.0,2000-07-08
Creed,Higher,19,60.0,2000-01-15
Nelly,(Hot S**t) Country Grammar,19,11.0,2000-09-02
Next,Wifey,19,21.0,2000-09-30
Sonique,It Feels So Good,19,17.0,2000-05-27
"Spears, Britney",Oops!.. I Did It Again,19,90.0,2000-08-26
"Backstreet Boys, The",Shape Of My Heart,19,62.0,2001-02-17
Everclear,Wonderful,19,36.0,2000-11-11
Ja Rule,Between Me And You,19,42.0,2001-01-20
"Rimes, LeAnn",I Need You,19,19.0,2000-09-30
Smash Mouth,Then The Morning Comes,19,24.0,2000-03-04
Jay-Z,I Just Wanna Love U (Give It 2 Me),19,29.0,2001-03-03
Jagged Edge,Let's Get Married,19,21.0,2000-09-09
Filter,Take A Picture,19,31.0,2000-04-01
Mystikal,Shake Ya Ass,19,42.0,2000-12-16
BBMak,Back Here,19,17.0,2000-09-02
"Spears, Britney",From The Bottom Of My Broken Heart,19,86.0,2000-06-03
Third Eye Blind,Never Let You Go,19,27.0,2000-05-27
Red Hot Chili Peppers,Otherside,19,19.0,2000-06-17
Profyle,Liar,19,94.0,2001-01-20
Barenaked Ladies,Pinch Me,19,21.0,2001-01-13
Jagged Edge,He Can't Love U,19,69.0,2000-04-15
Sting,Desert Rose,19,24.0,2000-09-16
Jay-Z,Big Pimpin',19,41.0,2000-08-26
Kid Rock,Only God Knows Why,19,69.0,2000-06-24
Foo Fighters,Learn To Fly,19,35.0,2000-02-19
Lil Bow Wow,Bounce With Me,19,99.0,2000-12-23
Westlife,Swear It Again,19,45.0,2000-08-05
Train,Meet Virginia,19,28.0,2000-02-12
"Thomas, Carl",I Wish,19,52.0,2000-07-29
Ludacris,What's Your Fantasy,19,32.0,2001-02-03
SoulDecision,Faded,19,31.0,2000-11-11
"Brock, Chad",Yes!,19,53.0,2000-08-12
Vertical Horizon,You're A God,19,46.0,2000-12-30
Avant,Separated,19,40.0,2000-09-02
"Rimes, LeAnn",Big Deal,19,56.0,2000-02-19
IMx,Stay The Night,19,79.0,2000-02-12
Dr. Dre,The Next Episode,19,52.0,2000-09-30
Savage Garden,Crash And Burn,19,73.0,2000-08-12
Kandi,Don't Think I'm Not,19,25.0,2000-12-09
Sammie,I Like It,19,91.0,2000-06-03
Goo Goo Dolls,Broadway,19,85.0,2000-08-26
Dr. Dre,Forgot About Dre,19,80.0,2000-05-27
"Messina, Jo Dee",That's The Way,19,51.0,2000-10-28
Avant,My First Love,19,81.0,2001-03-10
Son By Four,A Puro Dolor (Purest Of Pain),19,37.0,2000-08-12
Da Brat,What'Chu Like,19,68.0,2000-10-07
DMX,Party Up (Up In Here),19,44.0,2000-07-01
"Dixie Chicks, The",Cowboy Take Me Away,19,59.0,2000-04-01
"McGraw, Tim",My Next Thirty Years,19,58.0,2001-02-24
"Tritt, Travis",Best Of Intentions,19,37.0,2000-12-23
Alice Deejay,Better Off Alone,19,79.0,2000-08-12
Counting Crows,Hanginaround,19,61.0,2000-03-11
Mary Mary,Shackles (Praise You),19,84.0,2000-07-29
"McGraw, Tim",My Best Friend,19,46.0,2000-04-01
Sugar Ray,Falls Apart,19,98.0,2000-05-20
"Jones, Donell",Where I Wanna Be,19,55.0,2000-08-26
"Paisley, Brad",We Danced,19,83.0,2001-02-17
Lonestar,What About Now,19,61.0,2000-10-14
"Keith, Toby",How Do You Like Me Now?!,19,52.0,2000-06-03
"Strait, George",The Best Day,19,53.0,2000-06-03
"Dixie Chicks, The",Without You,19,51.0,2001-02-10
Musiq,Just Friends (Sunny),19,58.0,2001-02-17
"McEntire, Reba",What Do You Say,19,68.0,2000-03-04
"Braxton, Toni",Just Be A Man About It,19,89.0,2000-12-02
Bon Jovi,It's My Life,19,85.0,2000-12-16
"Evans, Sara",Born To Fly,19,81.0,2001-02-24
"Chesney, Kenny",I Lost It,19,89.0,2001-02-24
Aaliyah,I Don't Wanna,19,83.0,2000-06-03
"Montgomery, John Michael",The Little Girl,19,74.0,2001-01-13
"Vassar, Phil",Just Another Day In Paradise,19,74.0,2001-02-03
Lucy Pearl,Dance Tonight,19,92.0,2000-09-23
"Jackson, Alan",It Must Be Love,19,84.0,2000-10-28
"Griggs, Andy",She's More,19,77.0,2000-07-15
"Jean, Wyclef",911,19,96.0,2001-02-10
Rascal Flatts,Prayin' For Daylight,19,72.0,2000-09-09
"Gilman, Billy",One Voice,19,97.0,2000-10-21
Lonestar,Smile,19,85.0,2000-04-22
"Rogers, Kenny",Buy Me A Rose,19,88.0,2000-07-15
"Lawrence, Tracy",Lessons Learned,19,99.0,2000-06-03
"Strait, George",Go On,19,95.0,2000-12-30
Sisqo,Got To Get It,19,88.0,2000-03-25
Baha Men,Who Let The Dogs Out,19,78.0,2000-11-25
"Walker, Clay",The Chain Of Love,19,94.0,2000-08-19
"McBride, Martina",Love's The Only House,19,92.0,2000-06-10
Amber,Sexual (Li Da Di),19,95.0,1999-11-20
"Tippin, Aaron",Kiss This,19,97.0,2000-12-30
SheDaisy,I Will.. But,19,85.0,2000-11-18
"Raye, Collin",Couldn't Last A Moment,19,73.0,2000-07-22
"Black, Clint",Been There,19,95.0,2000-06-24
Common,The Light,19,99.0,2000-12-09
"Vassar, Phil",Carlene,19,93.0,2000-07-08
"Thomas, Carl",Emotional,19,91.0,2001-03-31
"Davidson, Clay",Unconditional,19,63.0,2000-07-29
DMX,What You Want,19,99.0,2000-11-04
"Heatherly, Eric",Flowers On The Wall,19,83.0,2000-09-02
"McEntire, Reba",I'll Be,19,94.0,2000-09-16
"Lopez, Jennifer",Feelin' Good,19,96.0,2000-06-24
"Williams, Robbie",Angels,19,95.0,2000-03-25
3 Doors Down,Loser,19,73.0,2001-02-24
Brooks & Dunn,You'll Always Be Loved By Me,19,98.0,2000-10-14
Papa Roach,Last Resort,19,57.0,2000-12-02
"Adams, Yolanda",Open My Heart,19,79.0,2000-12-30
"Henley, Don",Taking You Home,19,87.0,2000-10-28
Sister Hazel,Change Your Mind,19,96.0,2000-11-18
"Price, Kelly",You Should've Told Me,19,93.0,2001-01-27
Red Hot Chili Peppers,Californication,19,97.0,2000-12-02
"Anthony, Marc",My Baby You,19,91.0,2001-01-20
"Rimes, LeAnn",Can't Fight The Moonlight,19,87.0,2001-01-13
Metallica,I Disappear,19,89.0,2000-09-16
Madison Avenue,Don't Call Me Baby,19,90.0,2000-11-11
Destiny's Child,Independent Women Part I,20,2.0,2001-02-03
Santana,"Maria, Maria",20,15.0,2000-06-24
Savage Garden,I Knew I Loved You,20,2.0,2000-03-04
Madonna,Music,20,25.0,2000-12-23
"Aguilera, Christina",Come On Over Baby (All I Want Is You),20,43.0,2000-12-16
Janet,Doesn't Really Matter,20,20.0,2000-10-28
Destiny's Child,Say My Name,20,5.0,2000-05-06
"Iglesias, Enrique",Be With You,20,28.0,2000-08-12
Sisqo,Incomplete,20,14.0,2000-11-04
Lonestar,Amazed,20,50.0,1999-10-16
N'Sync,It's Gonna Be Me,20,15.0,2000-09-16
"Aguilera, Christina",What A Girl Wants,20,20.0,2000-04-08
Vertical Horizon,Everything You Want,20,7.0,2000-06-03
Creed,With Arms Wide Open,20,11.0,2000-09-23
Aaliyah,Try Again,20,4.0,2000-07-29
matchbox twenty,Bent,20,5.0,2000-09-09
"Carey, Mariah",Thank God I Found You,20,89.0,2000-04-22
"Hill, Faith",Breathe,20,4.0,2000-03-18
Mya,Case Of The Ex (Whatcha Gonna Do),20,4.0,2000-12-30
Dream,He Loves U Not,20,9.0,2001-02-10
"Braxton, Toni",He Wasn't Man Enough,20,10.0,2000-07-29
"Anthony, Marc",You Sang To Me,20,12.0,2000-07-08
98¡,Give Me Just One Night (Una Noche),20,94.0,2000-12-30
Destiny's Child,Jumpin' Jumpin',20,3.0,2000-09-23
3 Doors Down,Kryptonite,20,14.0,2000-08-19
Sisqo,Thong Song,20,3.0,2000-06-10
"Aguilera, Christina",I Turn To You,20,40.0,2000-08-26
"Houston, Whitney",My Love Is Your Love,20,6.0,2000-01-15
Joe,I Wanna Know,20,14.0,2000-05-13
"Jordan, Montell",Get It On.. Tonite,20,10.0,2000-03-04
N'Sync,Bye Bye Bye,20,20.0,2000-06-10
Pink,Most Girls,20,14.0,2000-12-23
"Mumba, Samantha",Gotta Tell You,20,23.0,2001-01-20
Blaque,Bring It All To Me,20,15.0,2000-03-04
"Elliott, Missy ""Misdemeanor""",Hot Boyz,20,30.0,2000-04-08
"Gray, Macy",I Try,20,16.0,2000-07-01
N'Sync,This I Promise You,20,22.0,2001-02-10
Ruff Endz,No More,20,18.0,2000-11-11
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,20,26.0,2000-05-13
Nine Days,Absolutely (Story Of A Girl),20,12.0,2000-09-16
"Dion, Celine",That's The Way It Is,20,7.0,2000-03-25
Blink-182,All The Small Things,20,23.0,2000-04-15
Eiffel 65,Blue (Da Ba Dee),20,88.0,2000-04-22
"Badu, Erkyah",Bag Lady,20,66.0,2000-12-30
Pink,There U Go,20,10.0,2000-07-15
Creed,Higher,20,61.0,2000-01-22
Nelly,(Hot S**t) Country Grammar,20,10.0,2000-09-09
Next,Wifey,20,25.0,2000-10-07
Sonique,It Feels So Good,20,19.0,2000-06-03
"Spears, Britney",Oops!.. I Did It Again,20,96.0,2000-09-02
"Backstreet Boys, The",Shape Of My Heart,20,70.0,2001-02-24
Everclear,Wonderful,20,39.0,2000-11-18
Ja Rule,Between Me And You,20,53.0,2001-01-27
"Rimes, LeAnn",I Need You,20,21.0,2000-10-07
Smash Mouth,Then The Morning Comes,20,25.0,2000-03-11
Jay-Z,I Just Wanna Love U (Give It 2 Me),20,30.0,2001-03-10
Jagged Edge,Let's Get Married,20,23.0,2000-09-16
Filter,Take A Picture,20,42.0,2000-04-08
Mystikal,Shake Ya Ass,20,58.0,2000-12-23
BBMak,Back Here,20,15.0,2000-09-09
"Spears, Britney",From The Bottom Of My Broken Heart,20,90.0,2000-06-10
Third Eye Blind,Never Let You Go,20,33.0,2000-06-03
Red Hot Chili Peppers,Otherside,20,22.0,2000-06-24
Profyle,Liar,20,99.0,2001-01-27
Barenaked Ladies,Pinch Me,20,34.0,2001-01-20
Jagged Edge,He Can't Love U,20,77.0,2000-04-22
Sting,Desert Rose,20,26.0,2000-09-23
Jay-Z,Big Pimpin',20,50.0,2000-09-02
Kid Rock,Only God Knows Why,20,78.0,2000-07-01
Foo Fighters,Learn To Fly,20,42.0,2000-02-26
Westlife,Swear It Again,20,56.0,2000-08-12
Train,Meet Virginia,20,30.0,2000-02-19
"Thomas, Carl",I Wish,20,67.0,2000-08-05
Ludacris,What's Your Fantasy,20,35.0,2001-02-10
SoulDecision,Faded,20,34.0,2000-11-18
"Brock, Chad",Yes!,20,59.0,2000-08-19
Vertical Horizon,You're A God,20,48.0,2001-01-06
Avant,Separated,20,51.0,2000-09-09
"Rimes, LeAnn",Big Deal,20,70.0,2000-02-26
IMx,Stay The Night,20,78.0,2000-02-19
Dr. Dre,The Next Episode,20,58.0,2000-10-07
Savage Garden,Crash And Burn,20,87.0,2000-08-19
Kandi,Don't Think I'm Not,20,25.0,2000-12-16
Sammie,I Like It,20,89.0,2000-06-10
Goo Goo Dolls,Broadway,20,87.0,2000-09-02
Dr. Dre,Forgot About Dre,20,82.0,2000-06-03
"Messina, Jo Dee",That's The Way,20,59.0,2000-11-04
Avant,My First Love,20,79.0,2001-03-17
Son By Four,A Puro Dolor (Purest Of Pain),20,26.0,2000-08-19
Da Brat,What'Chu Like,20,68.0,2000-10-14
DMX,Party Up (Up In Here),20,46.0,2000-07-08
"Dixie Chicks, The",Cowboy Take Me Away,20,59.0,2000-04-08
"McGraw, Tim",My Next Thirty Years,20,62.0,2001-03-03
"Tritt, Travis",Best Of Intentions,20,45.0,2000-12-30
Alice Deejay,Better Off Alone,20,86.0,2000-08-19
Counting Crows,Hanginaround,20,66.0,2000-03-18
Mary Mary,Shackles (Praise You),20,94.0,2000-08-05
"McGraw, Tim",My Best Friend,20,49.0,2000-04-08
Sugar Ray,Falls Apart,20,100.0,2000-05-27
"Jones, Donell",Where I Wanna Be,20,62.0,2000-09-02
"Paisley, Brad",We Danced,20,86.0,2001-02-24
Lonestar,What About Now,20,69.0,2000-10-21
"Keith, Toby",How Do You Like Me Now?!,20,54.0,2000-06-10
"Strait, George",The Best Day,20,62.0,2000-06-10
"Dixie Chicks, The",Without You,20,54.0,2001-02-17
Musiq,Just Friends (Sunny),20,68.0,2001-02-24
"McEntire, Reba",What Do You Say,20,71.0,2000-03-11
"Braxton, Toni",Just Be A Man About It,20,90.0,2000-12-09
Bon Jovi,It's My Life,20,87.0,2000-12-23
"Evans, Sara",Born To Fly,20,86.0,2001-03-03
"Chesney, Kenny",I Lost It,20,92.0,2001-03-03
Aaliyah,I Don't Wanna,20,86.0,2000-06-10
"Montgomery, John Michael",The Little Girl,20,74.0,2001-01-20
"Vassar, Phil",Just Another Day In Paradise,20,79.0,2001-02-10
"Jackson, Alan",It Must Be Love,20,89.0,2000-11-04
"Griggs, Andy",She's More,20,85.0,2000-07-22
Rascal Flatts,Prayin' For Daylight,20,77.0,2000-09-16
Lonestar,Smile,20,91.0,2000-04-29
"Rogers, Kenny",Buy Me A Rose,20,91.0,2000-07-22
"Lawrence, Tracy",Lessons Learned,20,100.0,2000-06-10
Sisqo,Got To Get It,20,95.0,2000-04-01
Baha Men,Who Let The Dogs Out,20,84.0,2000-12-02
"Walker, Clay",The Chain Of Love,20,95.0,2000-08-26
"McBride, Martina",Love's The Only House,20,90.0,2000-06-17
Amber,Sexual (Li Da Di),20,88.0,1999-11-27
"Tippin, Aaron",Kiss This,20,99.0,2001-01-06
SheDaisy,I Will.. But,20,87.0,2000-11-25
"Raye, Collin",Couldn't Last A Moment,20,89.0,2000-07-29
"Black, Clint",Been There,20,100.0,2000-07-01
"Thomas, Carl",Emotional,20,99.0,2001-04-07
"Davidson, Clay",Unconditional,20,83.0,2000-08-05
DMX,What You Want,20,100.0,2000-11-11
"Heatherly, Eric",Flowers On The Wall,20,89.0,2000-09-09
"McEntire, Reba",I'll Be,20,100.0,2000-09-23
"Gill, Vince",Feels Like Love,20,91.0,2001-01-13
"Houston, Whitney",Could I Have This Kiss Forever,20,97.0,2000-10-28
3 Doors Down,Loser,20,70.0,2001-03-03
Papa Roach,Last Resort,20,72.0,2000-12-09
"Adams, Yolanda",Open My Heart,20,89.0,2001-01-06
"Henley, Don",Taking You Home,20,87.0,2000-11-04
Sister Hazel,Change Your Mind,20,98.0,2000-11-25
"Price, Kelly",You Should've Told Me,20,92.0,2001-02-03
"Anthony, Marc",My Baby You,20,90.0,2001-01-27
"Rimes, LeAnn",Can't Fight The Moonlight,20,93.0,2001-01-20
Metallica,I Disappear,20,95.0,2000-09-23
Madison Avenue,Don't Call Me Baby,20,97.0,2000-11-18
Destiny's Child,Independent Women Part I,21,3.0,2001-02-10
Santana,"Maria, Maria",21,19.0,2000-07-01
Savage Garden,I Knew I Loved You,21,4.0,2000-03-11
Madonna,Music,21,27.0,2000-12-30
"Aguilera, Christina",Come On Over Baby (All I Want Is You),21,44.0,2000-12-23
Janet,Doesn't Really Matter,21,25.0,2000-11-04
Destiny's Child,Say My Name,21,5.0,2000-05-13
Sisqo,Incomplete,21,17.0,2000-11-11
N'Sync,It's Gonna Be Me,21,18.0,2000-09-23
